state,abbreviation,year,lat,lng,population,raw_need_score,need_index,ami,smi,mde_adult,mde_youth,suicide_rate,substance_use_disorder,public_mh_spending_per_capita,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score,medicaid_share_of_public_mh,provider_density_per_100k,medicaid_expansion_status,medicaid_expansion_label,financing_status
Nevada,NV,2017,38.3,-117.1,3194176,1.5518,66.1,24.64,6.65,8.85,18.82,20.3,21.74,347.18,365.94,-18.76,-1.54,47.2,130.8,1,Expansion,Modeled fallback
New Hampshire,NH,2017,43.5,-71.6,1454674,2.6033,77.5,27.7,7.55,10.36,20.27,14.6,18.12,384.87,373.01,11.86,0.97,52.5,286.5,1,Expansion,Modeled fallback
New Jersey,NJ,2017,40.2,-74.5,9290841,-4.5748,0,18.1,4,6.18,15.61,7.2,14.73,340.42,324.96,15.46,1.27,46.9,237,1,Expansion,Modeled fallback
New Mexico,NM,2017,34.8,-106.2,2117522,1.5661,66.3,23.89,6.12,9.55,19.81,22.8,19.8,349.56,366.07,-16.51,-1.35,45.6,150.1,1,Expansion,Modeled fallback
New York,NY,2017,42.2,-74.9,19571216,-2.6054,21.3,21.87,4.73,7.7,15.27,8.3,17.29,352.61,338.17,14.44,1.18,48.1,251.4,1,Expansion,Modeled fallback
North Carolina,NC,2017,35.6,-79,10439388,-2.247,25.1,21.4,5,8.09,15.89,14.3,14.82,330.54,340.52,-9.98,-0.82,44.8,147.3,0,Non-expansion,Modeled fallback
North Dakota,ND,2017,47.5,-99.8,780841,-0.4353,44.7,22.99,6.27,8.85,16.4,17.8,16.82,360.85,352.67,8.18,0.67,49.5,212.1,1,Expansion,Modeled fallback
Ohio,OH,2017,40.4,-82.9,11785869,-0.0302,49,23.89,6.28,8.88,17.53,14.7,17.64,356.48,355.34,1.14,0.09,45.9,222.8,1,Expansion,Modeled fallback
Oklahoma,OK,2017,35.6,-97.5,4053824,-0.3196,45.9,22.56,5.76,8.31,17.28,21.8,17.9,339.57,353.42,-13.85,-1.14,44.4,164.4,0,Non-expansion,Modeled fallback
Oregon,OR,2017,43.8,-120.6,4246155,4.6919,100,31.58,7.96,11.9,19.89,19.4,20.81,390.79,386.96,3.83,0.31,51.4,225.7,1,Expansion,Modeled fallback
Pennsylvania,PA,2017,40.6,-77.2,12961683,-0.0986,48.3,23.94,6.22,9.2,17.29,14.3,17.06,368.14,354.91,13.23,1.08,48.6,282.2,1,Expansion,Modeled fallback
Rhode Island,RI,2017,41.7,-71.5,1095962,0.4316,54,25.82,6.31,9.71,16.9,9.4,19.46,371.42,358.44,12.98,1.06,50.7,267.8,1,Expansion,Modeled fallback
South Carolina,SC,2017,34,-81.2,5373555,-3.0862,16.1,19.78,4.6,6.65,14.97,14.7,17.62,321.96,334.94,-12.98,-1.06,43.7,139.7,0,Non-expansion,Modeled fallback
South Dakota,SD,2017,44.3,-99.4,887770,-0.6838,42,21.83,6.72,8.12,15.79,20.7,16.94,356.66,351,5.66,0.46,47.3,220.6,0,Non-expansion,Modeled fallback
Tennessee,TN,2017,35.7,-86.7,7126489,1.2321,62.7,26.96,7,9.72,17.79,17.3,16.36,347.61,363.83,-16.22,-1.33,46.1,152.3,0,Non-expansion,Modeled fallback
Texas,TX,2017,31.9,-99.9,30503301,-2.6306,21,20.73,5.1,7.22,16.13,14.2,14.62,318.5,337.98,-19.48,-1.6,44.9,103.3,0,Non-expansion,Modeled fallback
Utah,UT,2017,39.3,-111.1,3417734,1.3428,63.9,26.7,8.4,9.87,16.83,21.5,12.59,374.04,364.58,9.46,0.78,51.8,225.1,0,Non-expansion,Modeled fallback
Vermont,VT,2017,44,-72.7,643077,2.9408,81.1,29.12,7.69,10.45,17.87,17.8,20.87,386.95,375.24,11.71,0.96,53.1,287.8,1,Expansion,Modeled fallback
Virginia,VA,2017,37.8,-78.2,8715698,-1.1378,37.1,23.14,5.53,8.26,17.47,13.6,15.57,361.7,347.96,13.74,1.13,48.6,311.3,0,Non-expansion,Modeled fallback
Washington,WA,2017,47.4,-121.5,7812880,1.7512,68.3,27.93,7.24,10.93,17.13,15.7,16.62,377.05,367.31,9.74,0.8,50.6,237.1,1,Expansion,Modeled fallback
