state,abbreviation,year,lat,lng,population,raw_need_score,need_index,ami,smi,mde_adult,mde_youth,suicide_rate,substance_use_disorder,public_mh_spending_per_capita,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score,medicaid_share_of_public_mh,provider_density_per_100k,medicaid_expansion_status,medicaid_expansion_label,financing_status
Georgia,GA,2024,33,-83.6,10912876,-0.9257,39.4,25.23,5.81,8.16,15.02,14.8,17.61,91.72,174.08,-82.36,-0.66,3,113.8,0,Non-expansion,Official URS + CMS/MHBG
Hawaii,HI,2024,21.1,-157.5,1435138,-3.9301,7,19.82,4.27,6.08,14.81,15.3,14.36,163.41,126.45,36.96,0.3,1,177.1,1,Expansion,Official URS + CMS/MHBG
Idaho,ID,2024,44.2,-114,1964726,0.7157,57.1,24.46,5.92,9.4,18.49,23.3,16.43,62.43,200.1,-137.67,-1.1,4.7,152.8,1,Expansion,Official URS + CMS/MHBG
Illinois,IL,2024,40.3,-88.9,12549689,-1.3914,34.4,22.19,5.2,7.83,17.25,11.9,18.31,89.89,166.73,-76.84,-0.61,42.5,199.4,1,Expansion,Official URS + CMS/MHBG
Indiana,IN,2024,39.8,-86.3,6862199,0.1643,51.1,25.31,6.78,9.16,16.04,17,16.55,110.29,191.28,-80.99,-0.65,56.5,212.4,1,Expansion,Official URS + CMS/MHBG
Iowa,IA,2024,42,-93.2,3207287,1.8781,69.6,24.99,7.09,10.22,20.3,15.5,17.97,405.96,218.47,187.49,1.5,84.3,166.3,1,Expansion,Official URS + CMS/MHBG
Kansas,KS,2024,38.5,-96.7,2937880,-0.0195,49.2,23.68,6.18,8.35,18.13,19.6,16.53,262.07,188.48,73.59,0.59,61.6,150.8,0,Non-expansion,Official URS + CMS/MHBG
Kentucky,KY,2024,37.7,-84.7,4505836,1.0128,60.3,25.26,6.92,10.12,17.13,17.5,17.31,60.98,204.8,-143.82,-1.15,23.2,229,1,Expansion,Official URS + CMS/MHBG
Louisiana,LA,2024,31.2,-91.9,4657757,-1.2015,36.4,24.06,5.78,7.74,15.35,15.6,17.47,214.54,169.67,44.87,0.36,66.4,182.9,1,Expansion,Official URS + CMS/MHBG
Maine,ME,2024,45.3,-69.4,1395231,3.1315,83.2,26.68,6.28,11.47,20.31,18.5,22.38,181.11,238.46,-57.35,-0.46,51.1,224.4,1,Expansion,Official URS + CMS/MHBG
Maryland,MD,2024,39.1,-76.8,6177224,-1.4432,33.8,22.7,5.14,8.21,18.25,9.3,15.83,104.29,165.85,-61.56,-0.49,0,210.9,1,Expansion,Official URS + CMS/MHBG
Massachusetts,MA,2024,42.2,-71.5,7001399,-0.5213,43.7,24.89,5.88,8.79,15.95,8.6,19.91,170.66,180.4,-9.74,-0.08,0,433.7,1,Expansion,Official URS + CMS/MHBG
Michigan,MI,2024,43.3,-84.5,9986857,-0.9726,38.9,23.57,5.18,8.54,16.65,14.9,17.43,34.74,173.34,-138.6,-1.11,7.6,201.5,1,Expansion,Official URS + CMS/MHBG
Minnesota,MN,2024,45.7,-93.9,5737915,-0.905,39.6,22.55,5.76,8.41,18.07,13.8,15.64,353.5,174.37,179.13,1.43,72,235.4,1,Expansion,Official URS + CMS/MHBG
Mississippi,MS,2024,32.7,-89.7,2939690,-2.6817,20.4,20.45,4.76,6.83,16,15.5,16.39,91.6,146.15,-54.55,-0.44,28.5,118.9,0,Non-expansion,Official URS + CMS/MHBG
Missouri,MO,2024,38.5,-92.3,6196911,1.3874,64.3,25.67,6.58,9.04,19.17,18,19.39,172.7,210.68,-37.98,-0.3,52.7,198,1,Expansion,Official URS + CMS/MHBG
Montana,MT,2024,47,-109.6,1084225,2.3024,74.2,25.59,6.87,9.77,17.54,26.6,22.18,333.93,225.23,108.7,0.87,66.9,259,1,Expansion,Official URS + CMS/MHBG
Nebraska,NE,2024,41.5,-99.9,1961504,0.7286,57.2,24.09,6.85,10.21,18.33,14.5,15.97,181.44,200.24,-18.8,-0.15,54,207.9,1,Expansion,Official URS + CMS/MHBG
Nevada,NV,2024,38.3,-117.1,3194176,1.5518,66.1,24.64,6.65,8.85,18.82,20.3,21.74,43.44,213.33,-169.89,-1.36,8.2,130.8,1,Expansion,Official URS + CMS/MHBG
New Hampshire,NH,2024,43.5,-71.6,1454674,2.6033,77.5,27.7,7.55,10.36,20.27,14.6,18.12,273.15,230.08,43.07,0.34,67.9,286.5,1,Expansion,Official URS + CMS/MHBG
New Jersey,NJ,2024,40.2,-74.5,9290841,-4.5748,0,18.1,4,6.18,15.61,7.2,14.73,243.8,116.16,127.64,1.02,55.7,237,1,Expansion,Official URS + CMS/MHBG
New Mexico,NM,2024,34.8,-106.2,2117522,1.5661,66.3,23.89,6.12,9.55,19.81,22.8,19.8,200.27,213.62,-13.35,-0.11,82.2,150.1,1,Expansion,Official URS + CMS/MHBG
New York,NY,2024,42.2,-74.9,19571216,-2.6054,21.3,21.87,4.73,7.7,15.27,8.3,17.29,436.22,147.47,288.75,2.31,47.2,251.4,1,Expansion,Official URS + CMS/MHBG
North Carolina,NC,2024,35.6,-79,10439388,-2.247,25.1,21.4,5,8.09,15.89,14.3,14.82,132.7,153.06,-20.36,-0.16,76.3,147.3,1,Expansion,Official URS + CMS/MHBG
North Dakota,ND,2024,47.5,-99.8,780841,-0.4353,44.7,22.99,6.27,8.85,16.4,17.8,16.82,187.53,181.87,5.66,0.05,5.3,212.1,1,Expansion,Official URS + CMS/MHBG
Ohio,OH,2024,40.4,-82.9,11785869,-0.0302,49,23.89,6.28,8.88,17.53,14.7,17.64,253.77,188.19,65.58,0.52,81.8,222.8,1,Expansion,Official URS + CMS/MHBG
Oklahoma,OK,2024,35.6,-97.5,4053824,-0.3196,45.9,22.56,5.76,8.31,17.28,21.8,17.9,129.01,183.63,-54.62,-0.44,28.1,164.4,1,Expansion,Official URS + CMS/MHBG
Oregon,OR,2024,43.8,-120.6,4246155,4.6919,100,31.58,7.96,11.9,19.89,19.4,20.81,614.83,263.16,351.67,2.81,68.6,225.7,1,Expansion,Official URS + CMS/MHBG
Pennsylvania,PA,2024,40.6,-77.2,12961683,-0.0986,48.3,23.94,6.22,9.2,17.29,14.3,17.06,414.25,187.16,227.09,1.81,78.2,282.2,1,Expansion,Official URS + CMS/MHBG
Rhode Island,RI,2024,41.7,-71.5,1095962,0.4316,54,25.82,6.31,9.71,16.9,9.4,19.46,102.23,195.54,-93.31,-0.75,92.7,267.8,1,Expansion,Official URS + CMS/MHBG
South Carolina,SC,2024,34,-81.2,5373555,-3.0862,16.1,19.78,4.6,6.65,14.97,14.7,17.62,114.8,139.83,-25.03,-0.2,20.7,139.7,0,Non-expansion,Official URS + CMS/MHBG
South Dakota,SD,2024,44.3,-99.4,887770,-0.6838,42,21.83,6.72,8.12,15.79,20.7,16.94,135.95,177.9,-41.95,-0.34,23.1,220.6,1,Expansion,Official URS + CMS/MHBG
Tennessee,TN,2024,35.7,-86.7,7126489,1.2321,62.7,26.96,7,9.72,17.79,17.3,16.36,153.18,208.33,-55.15,-0.44,58.3,152.3,0,Non-expansion,Official URS + CMS/MHBG
Texas,TX,2024,31.9,-99.9,30503301,-2.6306,21,20.73,5.1,7.22,16.13,14.2,14.62,53.5,147.03,-93.53,-0.75,2.1,103.3,0,Non-expansion,Official URS + CMS/MHBG
Utah,UT,2024,39.3,-111.1,3417734,1.3428,63.9,26.7,8.4,9.87,16.83,21.5,12.59,106.49,210.09,-103.6,-0.83,51.9,225.1,1,Expansion,Official URS + CMS/MHBG
Vermont,VT,2024,44,-72.7,643077,2.9408,81.1,29.12,7.69,10.45,17.87,17.8,20.87,466.97,235.38,231.59,1.85,89.6,287.8,1,Expansion,Official URS + CMS/MHBG
Virginia,VA,2024,37.8,-78.2,8715698,-1.1378,37.1,23.14,5.53,8.26,17.47,13.6,15.57,157.44,170.7,-13.26,-0.11,20.4,311.3,1,Expansion,Official URS + CMS/MHBG
Washington,WA,2024,47.4,-121.5,7812880,1.7512,68.3,27.93,7.24,10.93,17.13,15.7,16.62,275.8,216.56,59.24,0.47,58.6,237.1,1,Expansion,Official URS + CMS/MHBG
West Virginia,WV,2024,38.5,-80.9,1770071,3.2603,84.6,28.11,8.01,11,20.32,18.6,17.19,150.84,240.52,-89.68,-0.72,14.5,182.6,1,Expansion,Official URS + CMS/MHBG
Wisconsin,WI,2024,44.3,-89.6,5910726,0.0407,49.8,24.55,6.4,8.85,16.42,15,18.84,278.2,189.37,88.83,0.71,52.2,220.3,0,Non-expansion,Official URS + CMS/MHBG
Wyoming,WY,2024,42.8,-107.3,576851,1.8133,68.9,24.67,7.38,9.52,18.43,26.3,17.6,61.89,217.44,-155.55,-1.24,0,186.5,0,Non-expansion,Official URS + CMS/MHBG
